220	325	464	482	562	615	
237	354	480	478	567	606	
146	308	453	466	564	610	
143	317	460	474	565	612	
125	308	458	477	566	614	
101	295	449	471	563	613	
164	325	469	487	566	612	
160	303	469	493	565	613	
95	252	455	483	560	613	
132	240	467	479	560	610	
98	244	473	469	558	607	
172	274	457	479	551	612	
179	273	455	480	557	620	
160	238	220	221	529	623	
245	294	49	50	524	627	
262	336	37	37	515	631	
256	319	35	35	503	641	
368	336	35	35	491	648	
401	363	35	35	488	662	
452	360	35	36	502	666	
477	409	35	35	450	674	
471	431	36	35	286	667	
551	496	38	36	49	654	
685	612	49	38	40	601	
641	572	46	37	40	612	
577	538	43	37	41	622	
545	505	39	36	44	642	
553	489	38	37	50	652	
547	445	38	37	118	658	
552	369	38	37	337	686	
585	440	38	38	59	658	
638	528	40	38	42	650	
717	609	46	38	39	602	
683	588	54	38	38	567	
623	550	182	37	38	548	
614	524	50	36	37	565	
557	497	41	37	39	606	
526	465	38	37	41	648	
472	411	37	37	44	660	
468	442	41	36	37	585	
560	503	44	36	37	554	
522	485	53	35	36	534	
523	472	215	36	36	504	
442	416	333	35	36	482	
389	371	346	34	35	457	
380	348	357	33	34	369	
316	311	321	32	33	313	
262	289	304	33	33	319	
102	129	239	32	34	343	
102	188	277	33	34	273	
212	170	259	32	33	287	
56	53	129	31	32	198	
56	52	74	31	32	269	
58	53	118	31	32	282	
54	53	137	31	32	333	
376	48	70	31	32	374	
65	50	64	31	32	247	
51	51	63	30	31	61	
51	51	91	30	32	54	
54	54	62	30	31	82	
54	50	58	30	30	96	
63	64	50	30	31	135	
60	67	40	30	30	111	
51	51	48	29	29	51	
95	89	90	30	30	63	
61	109	55	31	32	250	
64	94	56	30	31	116	
98	69	34	30	30	82	
91	58	36	29	29	50	
169	75	37	29	29	48	
148	64	44	29	29	48	
65	53	51	29	28	45	
104	57	63	29	29	48	
55	52	52	29	29	46	
143	64	32	30	29	51	
282	110	32	29	28	46	
240	123	40	33	33	52	
82	59	39	32	32	48	
79	58	44	32	32	50	
63	56	43	32	31	53	
78	60	33	32	32	52	
267	143	34	32	33	67	
272	129	33	32	32	54	
374	208	34	32	32	55	
272	186	34	32	32	54	
262	175	34	32	32	57	
367	280	36	32	32	55	
361	262	39	33	32	57	
243	184	48	32	32	59	
112	104	70	32	33	145	
336	256	40	33	33	145	
274	179	34	33	33	86	
277	51	34	33	37	204	
355	78	35	34	37	263	
244	101	34	33	36	200	
315	222	34	33	35	126	
255	246	34	33	33	63	
294	242	34	33	33	81	
336	251	35	33	33	84	
294	198	34	33	33	128	
247	137	35	33	34	202	
473	359	36	34	37	319	
540	53	37	35	167	346	
566	50	37	36	246	446	
561	99	37	35	144	397	
590	54	38	36	265	514	
587	151	37	35	318	379	
607	405	36	34	164	310	
646	484	38	36	51	477	
582	465	36	34	44	351	
487	404	35	34	49	468	
400	49	35	34	386	486	
276	34	35	35	448	503	
461	36	36	36	470	524	
478	39	36	35	444	514	
448	40	37	37	509	636	
624	423	36	35	196	405	
600	457	36	34	50	346	
574	430	36	35	57	436	
487	37	36	35	434	493	
590	45	37	36	414	532	
480	201	35	35	328	502	
472	387	35	34	166	451	
500	429	35	34	42	366	
460	405	36	33	38	340	
556	477	37	34	39	453	
558	405	36	34	45	503	
576	372	36	35	51	501	
641	441	37	35	46	482	
538	436	36	35	44	586	
84	202	38	32	34	526	
85	228	40	33	36	592	
191	310	38	34	37	606	
159	210	33	34	43	601	
58	46	33	34	394	643	
186	50	34	34	325	649	
53	69	32	33	51	618	
57	55	115	30	32	368	
951	82	52	29	30	284	
65	52	74	30	31	348	
54	53	53	30	31	299	
274	51	47	29	31	282	
840	51	36	30	31	357	
107	51	30	30	33	377	
135	121	33	31	32	370	
57	63	151	30	31	42	
62	124	267	31	32	40	
68	63	188	31	32	335	
55	51	60	30	31	307	
78	49	41	29	31	184	
219	49	37	29	31	137	
350	55	37	29	31	97	
584	52	34	29	33	65	
640	88	38	29	32	51	
308	53	36	29	33	52	
491	69	37	29	35	49	
278	52	31	29	46	48	
60	49	30	29	48	49	
60	52	30	29	48	53	
58	52	30	29	47	51	
54	55	30	29	50	48	
58	57	29	29	50	50	
87	50	30	29	53	59	
58	51	30	29	52	75	
57	58	30	29	61	103	
54	49	30	29	48	49	
127	49	30	29	47	49	
769	53	31	29	47	48	
968	192	32	30	46	47	
915	36	31	30	50	51	
989	34	30	32	54	152	
983	31	30	42	266	418	
984	31	30	44	246	399	
986	32	30	32	224	376	
980	31	30	48	184	365	
986	31	30	31	205	352	
971	31	30	41	277	422	
980	31	30	42	290	440	
965	30	31	43	478	615	
889	30	32	46	552	658	
919	30	32	46	553	661	
932	29	31	46	533	642	
928	30	32	57	593	693	
953	30	31	60	537	631	
980	30	30	58	290	430	
971	30	30	51	380	470	
976	31	30	33	245	402	
976	31	30	32	213	391	
963	31	30	32	241	403	
978	31	30	32	273	427	
987	31	30	33	175	317	
937	30	30	36	352	450	
473	30	30	42	319	413	
659	31	30	47	64	106	
661	34	30	47	48	48	
966	42	31	46	47	47	
981	733	35	39	47	44	
983	758	35	33	45	45	
984	731	36	34	47	44	
970	715	48	45	51	45	
955	730	471	107	56	50	
971	560	92	55	48	48	
888	506	242	544	267	225	
787	568	844	658	603	478	
690	706	698	554	563	564	
801	663	722	789	530	478	
538	529	631	890	794	909	
848	722	860	828	487	457	
982	692	41	34	46	46	
741	651	856	813	454	344	
70	39	44	799	802	952	
160	45	40	550	726	964	
184	90	43	516	644	945	
784	874	62	225	98	359	
639	837	407	837	732	943	
778	958	427	861	721	846	
621	611	642	484	803	953	
481	48	536	654	835	903	
531	57	427	461	581	943	
196	87	47	630	606	925	
67	53	40	630	619	956	
393	356	51	763	636	913	
70	40	52	503	748	945	
57	31	31	52	355	944	
59	47	40	335	692	923	
59	445	38	727	739	964	
183	932	589	363	897	918	
194	120	623	442	915	928	
58	36	117	303	886	929	
60	36	334	481	877	945	
59	31	31	40	338	893	
63	39	31	45	47	46	
64	50	55	53	60	86	
586	575	623	562	553	567	
670	636	663	592	563	557	
666	634	662	592	564	560	
667	634	662	592	564	560	
665	633	661	592	564	560	
667	634	662	593	564	561	
665	633	662	592	564	559	
666	634	662	592	564	560	
666	633	662	592	564	560	
666	633	662	592	564	560	
667	634	662	592	564	561	
