305	288	361	242	216	238	
336	300	404	274	271	294	
313	305	377	243	259	256	
293	247	327	249	278	243	
355	333	356	208	209	209	
362	306	53	47	250	231	
321	262	34	33	221	275	
270	212	32	32	248	280	
247	240	33	32	287	282	
211	177	32	32	247	305	
273	220	32	32	218	318	
292	234	32	32	236	331	
100	131	32	32	71	289	
163	126	32	32	109	289	
185	139	32	31	97	240	
110	97	32	31	150	281	
119	81	31	31	59	76	
150	126	32	31	99	168	
262	209	32	32	151	170	
309	270	33	32	239	338	
236	220	33	32	247	285	
239	239	33	33	280	324	
256	248	33	33	292	355	
178	166	33	32	284	347	
202	246	33	33	321	414	
256	246	33	33	301	390	
273	286	34	33	307	431	
278	311	34	33	340	419	
326	298	34	33	340	414	
316	304	34	33	318	448	
349	306	34	33	283	438	
232	224	34	33	87	437	
195	195	33	33	136	421	
246	234	34	33	126	414	
270	247	34	33	128	398	
318	302	34	34	222	380	
431	333	34	33	340	383	
425	331	34	33	317	356	
415	347	34	33	212	377	
451	358	35	34	370	431	
509	405	35	34	324	404	
476	395	35	33	285	371	
433	341	34	33	312	360	
298	289	33	33	254	262	
360	299	33	32	217	159	
388	298	33	32	244	210	
405	330	33	33	227	254	
342	280	33	32	187	211	
430	346	34	33	279	287	
423	354	34	33	303	344	
411	349	34	33	315	359	
442	369	34	34	327	378	
496	393	35	33	315	348	
538	407	35	34	350	361	
544	458	36	34	354	431	
565	473	36	35	380	505	
541	432	36	35	416	484	
483	396	35	33	356	372	
305	284	33	32	180	145	
60	61	31	30	61	55	
127	57	31	30	58	51	
59	52	31	30	59	52	
121	145	32	31	164	152	
310	275	33	32	305	289	
390	335	34	32	290	257	
410	346	34	32	253	270	
365	293	33	32	214	281	
384	345	34	32	231	284	
495	412	37	33	41	260	
448	411	37	33	40	300	
401	386	36	33	38	338	
474	420	36	33	42	362	
474	407	35	34	354	426	
309	311	35	34	437	531	
538	438	37	35	436	569	
486	366	36	35	434	517	
454	347	35	34	394	474	
276	224	35	34	490	564	
284	265	35	34	492	564	
250	204	33	33	362	394	
108	86	32	31	178	190	
59	54	31	30	60	59	
52	50	31	30	51	50	
51	51	31	30	54	51	
59	49	32	30	57	56	
58	51	31	30	61	59	
179	83	32	31	145	81	
184	107	32	31	77	66	
364	252	33	32	293	256	
229	181	33	32	321	334	
112	71	31	30	56	52	
72	57	31	30	47	46	
108	54	31	30	47	45	
61	51	31	32	51	54	
137	62	31	30	49	46	
322	176	32	30	61	55	
352	171	32	30	53	50	
408	232	32	30	51	49	
437	230	32	31	56	49	
421	254	32	30	55	48	
462	307	32	30	51	48	
465	317	32	30	50	48	
314	224	32	30	60	61	
484	335	32	30	49	47	
444	290	31	30	48	616	
416	294	32	30	52	48	
297	252	32	30	54	51	
326	216	32	30	49	47	
403	267	32	31	52	48	
424	265	33	31	45	47	
434	365	34	31	35	52	
517	376	33	32	44	49	
498	373	34	32	63	67	
621	414	34	31	50	47	
623	455	34	30	41	884	
485	325	33	31	49	46	
416	235	33	32	62	54	
374	279	33	31	59	53	
395	303	33	31	57	51	
429	302	33	31	61	52	
367	348	34	32	80	150	
395	324	34	32	105	229	
395	363	34	33	254	345	
367	342	34	33	334	401	
392	358	34	33	324	397	
460	367	34	34	315	421	
460	385	34	33	294	386	
428	336	35	34	319	493	
541	459	38	40	394	396	
557	513	511	428	407	406	
596	570	606	570	554	588	
591	556	609	563	566	599	
577	563	588	551	559	598	
578	563	589	552	559	599	
578	563	589	551	560	598	
577	563	589	551	559	598	
577	563	589	551	560	599	
575	562	588	551	559	598	
576	562	588	551	560	599	
576	562	588	551	559	599	
576	562	588	551	560	599	
576	562	588	551	559	597	
575	561	588	551	559	594	
576	562	588	551	558	594	
574	561	587	550	558	593	
