928	69	328	461	596	698	
891	70	353	490	615	709	
888	71	353	491	615	708	
935	69	307	445	584	684	
950	69	275	412	560	663	
948	69	267	404	554	655	
951	69	229	383	537	639	
938	67	241	355	533	619	
963	69	236	340	521	604	
930	70	217	320	503	590	
928	74	197	307	477	569	
991	68	149	260	456	558	
990	71	149	262	438	544	
973	67	125	185	450	561	
971	67	81	215	429	539	
979	68	64	57	449	566	
962	67	63	56	448	582	
971	67	62	54	443	577	
936	67	55	49	356	497	
973	66	51	48	301	470	
993	71	48	47	213	422	
968	69	47	47	240	478	
958	69	48	48	333	521	
960	67	47	48	359	538	
935	68	48	48	352	545	
211	67	46	46	268	520	
87	65	45	45	62	386	
76	75	54	45	46	226	
765	65	45	44	55	288	
978	67	44	44	112	370	
980	64	44	44	189	343	
868	63	44	44	292	467	
110	65	44	44	69	195	
205	63	46	44	55	65	
308	262	879	328	267	79	
990	676	621	50	62	60	
998	559	50	45	61	61	
995	671	55	47	60	61	
734	112	46	44	62	65	
68	63	44	43	59	61	
71	63	47	60	892	984	
66	64	55	776	945	968	
269	343	677	837	667	327	
613	567	786	526	446	72	
403	400	315	403	240	63	
231	198	62	650	569	148	
107	137	58	454	538	285	
68	64	48	48	65	61	
181	68	45	44	57	64	
119	65	46	45	59	65	
251	127	45	44	58	58	
325	128	45	44	62	63	
249	69	52	45	52	724	
311	75	65	45	52	921	
241	67	66	46	57	987	
129	66	65	48	267	985	
246	71	46	46	74	977	
209	68	45	47	144	947	
312	81	47	45	50	231	
386	180	47	46	68	975	
248	74	49	46	55	733	
189	71	48	46	54	288	
131	68	46	46	59	69	
378	207	48	46	61	62	
365	205	48	46	65	63	
451	294	48	46	61	63	
215	91	46	46	65	622	
217	88	46	45	62	63	
239	79	46	45	63	61	
300	82	46	45	62	62	
470	267	47	45	63	935	
69	68	46	47	64	68	
69	65	47	46	63	61	
70	68	46	45	62	64	
79	65	46	45	86	193	
72	75	47	46	249	350	
75	66	45	44	77	166	
992	66	44	44	58	204	
989	503	53	48	61	60	
983	593	157	54	68	61	
998	538	60	51	63	60	
992	346	51	46	61	60	
394	72	46	44	60	60	
231	65	45	44	61	61	
861	580	890	944	892	969	
996	596	651	57	67	62	
499	249	324	65	159	148	
70	68	53	44	48	60	
83	63	46	44	55	61	
984	333	48	45	53	60	
329	232	47	44	50	63	
167	121	55	44	44	62	
987	771	622	171	52	69	
202	76	56	45	45	60	
111	71	53	44	46	65	
69	66	48	46	50	65	
177	103	57	51	55	127	
67	67	48	43	44	62	
990	605	296	45	43	61	
487	527	666	74	64	205	
827	831	864	733	294	210	
141	256	498	69	432	549	
105	67	74	49	191	949	
85	67	64	47	63	884	
68	63	48	51	749	951	
72	68	57	68	953	961	
65	64	50	55	929	956	
108	66	46	47	518	991	
64	65	50	56	470	945	
72	76	56	439	682	898	
88	186	117	752	755	941	
282	431	719	839	646	772	
137	163	580	878	785	957	
67	70	66	815	834	982	
71	73	56	469	738	936	
67	76	56	505	704	962	
70	65	48	56	709	980	
70	65	52	367	802	985	
70	64	53	439	788	986	
80	115	60	633	802	981	
73	79	60	646	782	974	
73	67	54	663	836	969	
68	64	55	599	886	962	
70	68	57	751	902	979	
84	66	55	645	898	979	
70	66	50	60	754	966	
71	64	46	50	605	973	
66	69	51	65	856	979	
71	62	48	59	688	982	
226	74	44	45	274	956	
205	75	44	46	201	975	
293	82	44	45	96	962	
100	66	45	48	427	966	
78	56	51	720	822	979	
76	52	46	64	582	987	
307	51	44	49	69	971	
109	44	45	56	358	989	
79	44	46	59	530	999	
229	52	201	708	751	987	
329	57	513	665	890	990	
759	431	663	765	837	932	
681	209	657	749	848	970	
134	49	55	459	712	982	
164	55	62	739	719	853	
341	91	529	850	835	989	
827	695	737	712	502	296	
668	76	614	618	701	777	
767	204	657	813	900	949	
974	279	64	324	71	64	
984	264	62	281	67	63	
823	172	568	595	639	549	
886	415	701	758	679	815	
757	149	605	766	736	834	
65	44	46	151	396	936	
234	51	58	478	663	944	
772	480	222	363	211	172	
914	645	188	289	79	70	
864	580	580	321	337	181	
485	654	700	484	618	834	
297	280	158	63	469	789	
66	46	45	46	74	359	
70	43	44	51	61	114	
68	44	44	63	62	64	
989	876	55	69	62	59	
989	832	54	71	62	60	
984	861	56	76	61	59	
844	726	436	568	551	687	
538	319	53	59	236	390	
984	773	46	48	60	59	
573	64	47	65	60	61	
758	670	53	449	159	230	
515	645	63	821	783	970	
67	46	46	49	183	473	
72	49	48	62	638	979	
948	813	520	907	833	959	
780	738	457	790	796	984	
118	49	53	91	673	993	
67	44	45	60	391	993	
72	49	54	179	668	992	
75	49	52	67	745	998	
106	52	60	711	783	987	
621	444	930	458	812	970	
217	52	81	519	821	970	
69	43	45	71	326	994	
89	50	58	664	849	990	
66	45	48	338	712	989	
69	45	50	164	764	959	
45	43	48	73	394	986	
55	43	44	63	219	987	
69	43	44	66	308	972	
78	43	44	61	142	984	
64	43	45	70	226	947	
777	671	841	525	764	774	
63	44	47	69	178	378	
67	46	47	70	98	305	
76	43	44	61	63	448	
88	43	44	61	63	387	
139	43	44	63	62	360	
133	44	44	62	61	195	
253	44	44	61	59	61	
502	48	47	77	62	60	
435	42	41	354	143	54	
491	43	44	470	534	539	
437	43	43	498	539	533	
572	43	43	297	547	527	
659	47	43	48	567	560	
660	48	43	49	571	567	
654	47	43	49	573	567	
640	45	43	53	580	578	
650	46	43	52	577	568	
663	49	46	539	562	562	
684	361	56	581	564	554	
682	612	662	599	564	562	
676	603	662	597	568	568	
669	594	658	591	564	564	
669	594	657	590	563	561	
670	594	657	590	563	561	
668	593	657	589	562	560	
670	594	657	590	563	561	
669	594	657	590	562	561	
669	594	657	589	562	560	
670	594	657	589	562	560	
